ModelSeries,Maker,Crew,Passenger(MAX),Propulsion(Turbofan Engines),EnginModel,EnginPower(kN),Speed(km/h),Mmo[最大運用限界マッハ速度],ServiceCeiling(m)[実用上昇限度],Range(km),EmptyWeight(kg),Max:TakeOffWeight(kg),Max:LandingWeight(kg),WingSpan(m),WingArea(m^2),Length(m),Height(m)
A300,Airbus,2,345,2,Pratt & Whitney PW4158,2580,891,0.82,12192,6667,78201,170500,140000,44.84,260,54.08,16.54
A320,Airbus,2,179,2,CFM Intl. CFM56-5B4,1201,904,0.82,12131,5700,37230,77000,64500,34.09,122.6,37.57,11.76
A321,Airbus,2,220,2,CFM Intl. CFM56-5B3/2P,1423,904,0.82,12131,5600,47500,93000,77800,34.09,122.6,44.51,11.76
A380,Airbus,2,853,4,Rolls-Royce Trent 900,3114,945,0.89,13106,15199,276800,569000,391000,79.8,845,73,24.1
B737-200,Boeing,2,136,2,Pratt & Whitney JT8D-17,712,933,0.82,11278,4800,27120,52390,46720,28.35,102,30.53,11.23
B737-400,Boeing,2,189,2,CFM Intl. CFM56-3B2,979,933,0.82,11278,5186,33650,68039,56246,28.88,105.4,36.4,11.07
B737-500,Boeing,2,149,2,CFM Intl. CFM56-3B1,894,946,0.82,11278,5463,31300,60555,49895,28.88,105.4,31.01,11.07
B737-700,Boeing,2,149,2,CFM Intl. CFM56-7B22,1010,946,0.82,12497,8149,37648,70080,58604,35.79,124.6,33.65,12.59
B737-800,Boeing,2,189,2,CFM Intl. CFM56-7B27,1214,946,0.82,12497,7408,41413,78245,65317,34.32,124.6,39.5,12.57
B747-100,Boeing,3,480,4,Pratt & Whitney JT9D-7F,2080,969,0.92,13747,9801,162500,322100,255800,59.64,511,70.51,19.33
B747-200B,Boeing,3,539,4,Pratt & Whitney JT9D-7R4G2,2435,969,0.92,13149,13149,170600,437150,238780,59.64,510.97,70.66,19.33
B747-300,Boeing,3,660,4,Pratt & Whitney JT9D-7R4G2,2435,969,0.92,13747,12401,173030,340100,255800,59.64,511,70.6,19.33
B747-400,Boeing,2,660,4,Pratt & Whitney PW4062A,2758,982,0.92,13747,13449,184567,412770,295743,64.4,541.2,70.6,19.41
B767-200,Boeing,2,290,2,Pratt & Whitney JT9D-7R4D,2135,850,0.8,13137,9401,80286,136078,134078,47.57,283.3,48.51,15.85
B767-300,Boeing,2,299,2,Pratt & Whitney PW4062,2758,850,0.8,13137,11066,88469,181437,145150,47.57,283.3,54.9,16.8
B777-200,Boeing,2,440,2,Pratt & Whitney PW4077,3434,950,0.84,13137,9695,134800,242672,201800,60.93,427.8,63.74,18.51
B777-300,Boeing,2,550,2,Rolls-Royce Trent 892,4003,950,0.84,13137,11140,159570,299370,237680,60.93,427.8,73.8,18.51
B787-8,Boeing,2,359,2,Rolls-Royce Trent 1000-E,2651,902,0.9,13137,13621,104099,227930,172365,60.12,325,56.72,16.9
B787-9,Boeing,2,406,2,Rolls-Royce Trent 1000-J2,3475,902,0.9,13137,14140,110677,252650,192776,60.17,361,62.81,17.02
